"","focal","seeds","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"1","CLAPUR",16,"1","0","0","3","1","2","0","0","5","0","0","0","1","0","5","0","0","0","0","0","0","14","0","0","0","0","0","1"
"2","CLAPUR",2,"1","1","0","4","1","2","0","0","5","0","0","0","2","0","5","0","0","2","0","0","1","8","0","0","2","0","0","0"
"3","CLAPUR",10,"0","3","0","4","2","0","0","0","0","0","0","0","5","0","2","0","0","1","0","0","3","3","0","0","8","0","0","0"
"4","CLAPUR",9,"0","0","0","2","0","4","0","0","3","0","0","0","4","0","0","0","0","2","0","0","1","11","0","0","10","0","0","0"
"5","CLAPUR",10,"0","0","0","2","3","4","0","0","1","0","0","0","3","0","2","0","0","2","0","0","1","8","0","0","4","0","0","0"
"6","CLAPUR",21,"0","0","0","1","0","0","0","0","2","1","0","0","3","0","0","3","0","1","0","0","0","0","0","0","2","7","0","0"
"7","CLAPUR",2,"0","0","0","2","1","1","0","0","5","0","0","0","3","0","4","0","0","1","0","0","0","9","1","0","0","0","0","0"
"8","CLAPUR",3,"1","0","0","5","0","0","0","0","0","1","0","0","8","0","0","0","0","2","0","0","0","1","0","0","0","3","0","0"
"9","CLAPUR",2,"1","0","0","4","0","5","0","0","4","0","0","0","8","1","1","0","0","6","0","1","2","4","0","0","7","0","0","0"
"10","CLAPUR",37,"1","0","0","4","2","3","0","0","3","0","0","0","4","0","6","0","0","2","0","0","0","3","0","0","0","0","0","0"
"11","CLAPUR",4,"0","0","0","8","4","6","0","1","10","0","0","0","2","0","5","0","0","0","0","0","0","19","0","0","0","0","0","0"
"12","CLAPUR",4,"0","0","0","3","1","3","0","3","3","0","0","0","1","1","1","0","0","1","1","0","1","28","0","0","2","0","0","0"
